Name,quiksilver-pro-gold-coast,rip-curl-pro-bells-beach,rio,j-bay,teahupoo,quiksilver-pro-new-york,trestles,quiksilver-pro-france,portugal,rip-curl-search,billabong-pipe-masters
Kelly Slater,1,4,6,,1,2,1,4,2,4,3
Joel Parkinson,5,1,4,3,7,5,4,7,4,2,2
Owen Wright,6,4,4,6,2,1,2,5,6,5,6
Taj Burrow,2,7,2,6,7,3,5,4,3,6,5
Adriano de Souza,5,3,1,6,7,5,4,7,1,6,6
Michel Bourez,5,5,5,5,5,7,6,4,4,7,3
Jordy Smith,3,3,6,1,6,7,7,3,6,6,6
Josh Kerr,6,6,4,4,3,4,4,7,6,4,6
Julian Wilson,6,7,7,4,6,4,3,2,4,6,6
Alejo Muniz,4,6,7,4,7,3,7,4,7,3,6
Mick Fanning,6,2,6,2,6,6,4,6,6,7,7
Gabriel Medina,,7,,,,,6,1,6,1,4
Damien Hobgood,7,6,5,4,6,6,5,5,5,7,6
Jeremy Flores,7,6,3,6,4,5,5,5,,7,7
Kieren Perrow,7,6,6,6,7,6,6,6,7,4,1
Adrian Buchan,5,7,6,3,6,6,5,5,7,6,7
Bede Durbidge,7,5,3,5,7,7,7,6,3,6,7
Heitor Alves,6,6,6,6,7,4,3,7,4,,7
Brett Simpson,4,7,7,7,4,6,6,6,6,4,7
Matt Wilkinson,4,6,7,6,4,7,6,7,6,5,7
Taylor Knox,7,7,6,7,6,7,6,3,6,3,7
Jadson Andre,6,4,6,6,6,4,6,6,7,7,7
Tiago Pires,3,5,7,6,6,6,7,6,7,6,7
Freddy Patacchia Jr.,6,7,7,7,5,5,6,7,5,6,7
Chris Davidson,7,4,7,7,5,7,6,7,5,6,7
Adam Melling,6,6,6,5,7,6,7,7,7,6,6
Kai Otton,6,7,7,6,5,6,6,6,6,7,7
Daniel Ross,6,7,5,5,7,7,7,7,6,6,7
Raoni Monteiro,7,7,5,7,4,6,7,7,7,6,7
Travis Logie,,,,6,3,7,7,6,6,7,6
C.J. Hobgood,7,5,6,7,6,6,,,,,5
Dusty Payne,4,7,7,6,6,7,7,7,6,7,6
Patrick Gudauskas,7,6,6,7,7,6,7,6,7,5,7
John John Florence,,,,,,,6,7,5,7,4
Bobby Martinez,7,6,4,,,,,,,,
Miguel Pupo,,,,,,,7,6,7,5,7
Cory Lopez,6,7,6,7,6,7,,,,,
Dane Reynolds,7,7,7,7,,7,7,6,,7,7
Gabe Kling,7,6,7,7,7,7,,,,,
Tom Whitaker,,,,,,,6,,,,
