Name,quiksilver-pro-gold-coast,rip-curl-pro-bells-beach,rio,fiji,teahupoo,trestles,quiksilver-pro-france,portugal,oneill-coldwater-classic-santa-cruz,billabong-pipe-masters
Joel Parkinson,4,3,2,5,2,2,2,3,4,1
Kelly Slater,4,2,7,1,6,1,1,6,5,3
Mick Fanning,6,1,3,3,1,3,5,5,7,6
John John Florence,6,5,1,4,3,4,2,4,7,6
Adriano de Souza,2,5,4,4,6,3,6,3,4,6
Taj Burrow,1,6,5,4,5,4,5,6,1,6
Gabriel Medina,7,6,7,2,4,5,3,2,4,5
Josh Kerr,3,4,3,6,6,5,6,4,7,2
Julian Wilson,5,7,4,4,5,5,5,1,7,6
Owen Wright,4,4,6,5,3,7,4,4,6,6
Jeremy Flores,6,3,5,6,4,5,5,4,4,6
Jordy Smith,3,4,5,6,7,4,5,7,6,6
C.J. Hobgood,7,5,6,3,4,7,6,6,6,4
Adrian Buchan,4,7,6,6,6,4,4,5,6,7
Michel Bourez,5,7,5,7,6,6,4,6,3,7
Damien Hobgood,7,6,7,5,5,7,6,7,5,3
Miguel Pupo,5,7,6,6,6,7,3,7,7,5
Alejo Muniz,7,7,4,6,6,6,5,6,5,7
Kieren Perrow,6,7,7,7,5,7,3,6,7,5
Bede Durbidge,6,6,6,6,7,6,4,6,6,6
Travis Logie,6,6,6,7,7,6,6,6,3,7
Kai Otton,7,4,7,6,6,6,5,6,6,7
Kolohe Andino,6,7,6,7,7,7,3,5,7,6
Matt Wilkinson,6,6,7,7,7,6,6,7,2,7
Brett Simpson,7,5,6,6,6,6,5,6,7,7
Yadin Nicol,6,6,7,7,7,6,6,6,6,4
Heitor Alves,5,7,6,5,6,6,6,7,7,7
Raoni Monteiro,6,6,7,7,7,7,6,5,5,7
Tiago Pires,7,6,4,6,7,7,6,7,7,8
Freddy Patacchia Jr.,6,6,7,6,6,7,5,,,7
Taylor Knox,7,7,7,7,6,6,5,7,6,8
Adam Melling,6,7,6,7,7,6,6,7,7,7
Jadson Andre,7,6,7,7,7,7,5,7,6,8
Patrick Gudauskas,7,7,6,7,7,7,5,7,6,8
Dusty Payne,7,7,7,7,7,6,6,6,6,8
Willian Cardoso,,,7,7,7,,,,,
