Name,quiksilver-pro-gold-coast,margaret-river,rip-curl-pro-bells-beach,rio,fiji,j-bay,teahupoo,trestles,quiksilver-pro-france,portugal,billabong-pipe-masters
Gabriel Medina,1,4,5,6,1,4,1,4,4,6,2
Mick Fanning,4,6,1,7,4,1,6,4,5,1,5
John John Florence,7,6,3,6,4,6,3,2,1,3,4
Kelly Slater,4,3,4,3,4,6,2,3,4,6,6
Michel Bourez,6,1,7,1,3,6,5,5,6,5,5
Joel Parkinson,2,4,4,5,5,2,6,4,6,6,6
Jordy Smith,7,4,5,4,6,6,7,1,3,2,7
Adriano de Souza,3,5,4,5,4,4,7,4,6,4,7
Taj Burrow,3,6,2,3,5,4,6,5,5,6,7
Josh Kerr,5,2,6,5,7,5,6,7,3,4,3
Kolohe Andino,6,6,7,2,3,5,4,6,4,6,6
Owen Wright,6,6,4,7,5,3,4,5,6,6,5
Nat Young,5,4,6,4,2,6,6,6,7,7,6
Julian Wilson,6,6,3,6,6,6,7,6,6,7,1
Adrian Buchan,6,6,7,6,6,6,4,3,6,7,3
Bede Durbidge,7,3,6,4,6,7,3,7,7,5,6
Filipe Toledo,7,5,6,6,5,7,7,6,5,4,4
Kai Otton,7,6,6,7,6,6,5,6,6,3,4
Miguel Pupo,4,5,6,7,7,6,7,5,4,6,6
Sebastian Zietz,7,6,6,4,6,6,6,7,6,6,5
Freddy Patacchia Jr.,5,7,5,7,6,5,7,6,6,6,6
Jadson Andre,6,6,7,6,7,7,6,6,2,6,6
Matt Wilkinson,7,7,6,7,7,3,6,7,5,7,6
C.J. Hobgood,4,6,6,7,7,5,6,6,7,7,7
Adam Melling,6,6,5,7,7,6,7,7,7,4,6
Alejo Muniz,7,7,7,6,6,4,7,7,7,6,4
Aritz Aranburu,7,7,6,6,7,6,6,6,7,5,7
Dion Atkinson,6,7,7,6,7,7,4,7,6,6,7
Tiago Pires,6,7,7,6,6,7,5,6,7,7,7
Mitch Crews,5,7,6,6,7,7,6,7,7,7,7
Brett Simpson,7,7,7,7,7,7,5,7,7,5,7
Travis Logie,6,7,7,5,7,7,7,7,6,7,7
Jeremy Flores,6,7,7,7,6,7,,7,6,7,6
Glenn Hall,,,6,7,6,7,7,,,,7
Raoni Monteiro,7,7,7,7,7,7,7,7,7,7,7
Mitch Coleborn,,7,,,6,,7,,,,7
