Name,billabong-pipe-masters,rip-curl-newcastle-cup,rip-curl-narrabeen-classic,margaret-river,rip-curl-rottnest-search,jeep-surf-ranch-pro,corona-open-mexico
Gabriel Medina,2,2,1,5,1,2,5
Filipe Toledo,6,3,5,1,8,1,8
Italo Ferreira,3,1,5,4,3,5,5
Conner Coffin,8,4,2,6,5,5,5
Morgan Cibilic,6,3,4,6,2,5,6
Griffin Colapinto,6,5,3,3,8,3,8
Jordy Smith,4,5,5,2,6,8,10
Kanoa Igarashi,4,5,4,5,8,3,8
Yago Dora,6,5,4,6,5,4,6
Frederico Morais,6,5,3,5,8,5,5
John John Florence,1,6,5,4,10,8,10
Jack Robinson,5,6,5,6,8,8,1
Leonardo Fioravanti,4,6,8,6,6,5,3
Deivid Silva,6,4,7,6,8,6,2
Ryan Callinan,5,4,7,4,8,6,8
Adriano de Souza,8,4,7,6,6,4,8
Ethan Ewing,6,6,4,6,8,4,6
Kelly Slater,3,7,8,7,10,4,6
Jadson Andre,5,7,5,5,10,6,6
Jeremy Flores,4,6,7,5,10,8,6
Julian Wilson,6,5,7,5,5,8,
Seth Moniz,6,6,7,4,6,5,8
Miguel Pupo,5,6,7,6,5,5,8
Matthew McGillivray,5,7,8,3,8,6,8
Owen Wright,8,5,7,6,6,5,8
Caio Ibelli,5,6,5,5,8,6,8
Peterson Crisanto,5,6,7,5,10,6,8
Michel Bourez,6,6,7,6,6,8,8
Jack Freestone,5,6,7,7,8,6,10
Wade Carmichael,6,5,7,6,8,6,8
Connor O'Leary,6,6,8,6,6,6,10
Mikey Wright,6,7,,7,6,8,8
Alex Ribeiro,8,6,7,6,8,6,10
Liam O'Brien,,,,,3,8,
Mateus Herdy,,,,,,,3
Adrian Buchan,8,6,8,6,10,6,8
Kolohe Andino,6,7,8,7,10,8,6
Reef Heazlewood,,,5,7,,,
Rio Waida,,,,,,,6
Jacob Willcox,,,,,,,
Sebastian Zietz,6,,,,,,
Nat Young,,,,,,,
Stuart Kennedy,,,,,8,,
Patrick Gudauskas,,,,,,6,
Mick Fanning,,,,,,,
Michael Dunphy,,,,,,,
Lucca MesinasPeru,,,,,,,8
Eli Hanneman,,,,,,6,
Lucas Vicente,,,,,,6,
Dylan Moffat,,,,,,,
