Rank,Surfer,In-degree,Num. Seasons,Num. Events,Degree per Event,Beta
1,Gabriel Medina,1519,9,92,16.51086956521739,56.13479038024752
2,Mick Fanning,1319,9,81,16.28395061728395,46.55457786341305
3,Kelly Slater,1306,10,105,12.438095238095238,42.41341983948137
4,Jordy Smith,1267,10,107,11.841121495327103,40.8480685928062
5,Julian Wilson,1080,9,97,11.1340206185567,35.028455918722116
6,Joel Parkinson,1053,9,94,11.202127659574469,31.928777931375024
7,Adriano de Souza,941,10,107,8.794392523364486,27.45153175664235
8,Taj Burrow,815,7,65,12.538461538461538,25.785653989184915
9,John John Florence,851,9,91,9.351648351648352,25.751529060084277
10,Filipe Toledo,718,7,75,9.573333333333334,23.97676854364719
