Name,quiksilver-pro-gold-coast,rip-curl-pro-bells-beach,santa-catarina-pro,billabong-pro-j-bay,billabong-pro-teahupoo,hurley-pro-trestles,quiksilver-pro-france,rip-curl-pro-portugal,rip-curl-search,billabong-pipe-masters
Kelly Slater,5,1,2,6,3,1,2,1,1,3
Jordy Smith,2,4,4,1,6,4,4,2,4,4
Mick Fanning,5,2,5,5,5,3,1,6,4,6
Dane Reynolds,3,6,3,4,5,3,6,7,4,3
Taj Burrow,1,3,6,3,7,4,6,6,3,5
Bede Durbidge,4,4,6,3,7,2,7,,2,5
Owen Wright,6,6,3,5,5,4,5,4,5,4
Adrian Buchan,5,5,6,5,4,5,3,4,7,4
Jeremy Flores,6,6,5,7,3,7,6,3,5,1
Adriano de Souza,4,4,5,4,5,6,7,7,4,6
Michel Bourez,7,5,4,6,5,6,4,5,3,6
Damien Hobgood,5,7,6,4,5,5,6,4,7,5
Jadson Andre,6,5,1,7,7,6,5,5,7,6
Kieren Perrow,5,7,6,7,7,4,4,7,6,2
Chris Davidson,5,6,5,6,6,5,6,3,5,7
C.J. Hobgood,6,7,4,7,2,5,6,6,6,6
Taylor Knox,6,6,4,7,7,6,5,6,5,4
Andy Irons,6,5,7,5,1,6,7,7,7,
Freddy Patacchia Jr.,5,5,6,6,4,7,6,7,6,6
Bobby Martinez,3,3,6,6,7,7,7,6,6,7
Tiago Pires,6,5,6,5,4,6,7,7,6,7
Patrick Gudauskas,6,6,6,7,4,7,6,4,7,6
Brett Simpson,6,6,7,5,7,6,3,6,6,7
Matt Wilkinson,7,6,6,5,6,6,7,5,6,6
Joel Parkinson,4,4,5,7,7,7,7,7,,6
Dusty Payne,6,6,7,5,6,6,7,6,6,5
Adam Melling,7,7,7,2,5,6,7,7,7,6
Daniel Ross,5,6,6,7,7,7,4,6,6,7
Kai Otton,4,6,7,7,7,7,6,6,7,
Tom Whitaker,6,6,6,7,7,7,5,6,7,7
Luke Stedman,6,5,7,6,6,6,7,7,7,
Roy Powers,7,5,5,7,7,7,7,7,6,
Luke Munro,6,7,5,7,6,7,6,7,7,7
Dean Morrison,6,7,7,6,6,,,6,,7
Gabe Kling,,,,,,6,6,6,6,7
Neco Padaratz,7,6,6,6,7,,,,,
Kekoa Bacalso,6,7,6,6,7,,,,,
Ben Dunn,7,7,6,6,6,,,,,
Tanner Gudauskas,7,6,6,6,7,,,,,
Nathan Yeomans,7,7,7,6,6,,,,,
Jay Thompson,7,7,7,6,6,,,,,
Marco Polo,7,7,7,7,6,,,,,
Drew Courtney,7,6,7,7,7,,,,,
Mick Campbell,6,7,7,7,7,,,,,
Blake Thornton,7,7,7,7,6,,,,,
Joan Duru,,,,6,6,,,,,
Tim Reyes,,,,6,7,,,,,
