Name,quiksilver-pro-gold-coast,rip-curl-pro-bells-beach,rio,fiji,bali,teahupoo,trestles,quiksilver-pro-france,portugal,billabong-pipe-masters
Mick Fanning,3,4,3,2,4,3,5,1,4,3
Kelly Slater,1,6,4,1,5,2,6,4,7,1
Joel Parkinson,2,6,6,4,1,5,6,3,3,3
Jordy Smith,6,3,1,4,6,5,3,5,4,7
Taj Burrow,4,3,5,5,4,7,1,5,5,6
Julian Wilson,4,6,6,6,4,4,2,4,4,4
Kai Otton,6,4,6,6,6,3,4,4,1,5
Nat Young,6,2,5,5,3,7,6,7,2,5
Josh Kerr,6,5,6,4,3,4,4,7,3,6
John John Florence,6,7,7,3,5,4,7,4,5,2
C.J. Hobgood,6,5,6,3,4,5,5,7,4,5
Michel Bourez,3,7,5,7,2,7,3,5,6,6
Adriano de Souza,7,1,2,7,5,7,5,6,6,6
Gabriel Medina,6,6,3,7,6,6,6,2,7,6
Filipe Toledo,6,4,4,7,6,7,6,3,6,7
Sebastian Zietz,6,6,4,4,6,7,6,6,6,4
Adrian Buchan,7,5,4,7,6,1,7,6,7,7
Jeremy Flores,5,6,6,5,6,5,6,6,7,5
Miguel Pupo,7,7,6,6,6,6,7,6,5,4
Freddy Patacchia Jr.,7,7,7,6,5,4,6,6,6,6
Bede Durbidge,4,6,6,7,7,6,6,7,6,6
Matt Wilkinson,4,7,7,6,6,6,7,7,5,7
Brett Simpson,5,7,6,6,7,7,6,5,7,7
Adam Melling,5,7,7,7,7,6,5,7,6,6
Travis Logie,5,7,6,6,7,7,4,7,7,7
Kolohe Andino,7,6,6,5,7,7,6,6,7,7
Patrick Gudauskas,7,7,6,,,7,4,6,7,6
Yadin Nicol,,,7,6,6,6,7,7,7,4
Damien Hobgood,7,6,7,6,6,6,7,7,6,7
Alejo Muniz,6,6,7,7,7,7,6,6,6,7
Kieren Perrow,7,7,7,6,7,6,7,6,6,8
Dusty Payne,6,6,7,7,7,7,7,7,7,6
Glenn Hall,7,7,5,7,7,7,7,7,7,7
Raoni Monteiro,7,5,7,7,7,,7,,7,8
Willian Cardoso,7,4,,,7,,,,,
Tiago Pires,7,6,7,7,7,7,7,7,7,7
Owen Wright,7,7,7,7,7,7,7,7,7,7
Heitor Alves,,,,6,,,,,,
