Name,quiksilver-pro-gold-coast,rip-curl-pro-bells-beach,drug-aware-margaret-river-pro,oi-rio-pro,fiji-pro,j-bay-open,billabong-pro-tahiti,hurley-pro-at-trestles,quiksilver-pro-france,moche-rip-curl-pro-portugal,billabong-pipe-masters
Adriano de Souza,3,2,1,6,6,3,6,2,3,6,1
Mick Fanning,4,1,6,5,5,1,6,1,4,6,3
Gabriel Medina,6,4,7,6,6,3,2,3,1,4,2
Filipe Toledo,1,4,7,1,6,5,5,3,7,1,6
Owen Wright,6,4,5,4,1,5,3,5,4,7,7
Julian Wilson,2,6,4,7,2,1,6,6,3,7,6
Italo Ferreira,5,7,6,3,4,5,4,5,4,2,6
Jeremy Flores,7,5,5,6,3,6,1,6,5,4,5
Kelly Slater,6,5,4,6,5,2,4,5,6,6,4
Nat Young,6,3,3,6,6,4,7,4,6,5,7
Josh Kerr,6,3,5,4,7,5,4,6,6,6,4
Bede Durbidge,4,7,7,2,6,5,6,6,2,6,6
Joel Parkinson,6,5,6,7,4,5,6,4,7,4,5
John John Florence,6,6,2,5,7,6,6,7,4,6,5
Wiggolly Dantas,4,7,7,6,4,4,5,4,7,7,7
Taj Burrow,4,6,3,6,3,6,7,6,,,6
Kai Otton,7,7,6,6,4,3,4,6,6,7,6
Matt Wilkinson,5,6,7,3,7,5,6,6,5,6,7
Adrian Buchan,7,7,6,6,6,2,6,4,6,7,6
Keanu Asing,7,6,7,5,6,4,7,7,6,5,5
Michel Bourez,7,7,4,7,7,4,7,6,6,5,6
Jadson Andre,7,5,6,4,6,6,6,7,5,7,7
Adam Melling,7,6,6,6,5,5,7,6,7,7,4
C.J. Hobgood,7,7,7,7,7,5,3,7,6,6,4
Kolohe Andino,6,6,7,7,6,5,7,6,5,5,7
Sebastian Zietz,6,6,5,6,6,6,6,7,7,6,6
Miguel Pupo,3,7,6,7,7,6,7,5,7,7,7
Jordy Smith,5,4,6,7,7,6,7,7,7,7,6
Brett Simpson,7,6,7,7,7,6,6,7,6,3,7
Glenn Hall,5,7,6,7,7,6,7,6,7,7,6
Ricardo Christie,7,7,6,4,7,6,7,7,7,6,7
Freddy Patacchia Jr.,6,6,6,7,6,5,7,6,,,
Matt Banting,6,6,7,5,7,6,7,7,7,7,7
Mason Ho,,6,,,,,,,,6,3
Alejo Muniz,,,7,7,6,3,,,7,,
Dusty Payne,6,7,7,6,7,6,6,7,7,7,7
Dane Reynolds,7,,,,5,5,,,6,,
Vasco Ribeiro,,,,,,,,,,3,
Aritz Aranburu,,,,,7,,5,7,7,7,
Jay Davies,,,4,,7,,,,,,
Frederico Morais,,,,,,,,,,4,
Bruno Santos,,,,,,,5,,,,
Tomas Hermes,,,,,,6,,7,6,7,
Caio Ibelli,,,,,,,,,7,6,
Maxime Huscenot,,,,,,,,,6,,
Jamie O'Brien,,,,,,,,,,,6
Garrett Parkes,,,,,,,7,,,,
Inia Nakalevu,,,,,7,,,,,,
Aca Ravulo,,,,,7,,,,,,
Joe Van Dijk,,7,,,,,,,,,
