Name,quiksilver-pro-gold-coast,rip-curl-pro-bells-beach,drug-aware-margaret-river-pro,oi-rio-pro,fiji-pro,j-bay-open,billabong-pro-tahiti,hurley-pro-at-trestles,quiksilver-pro-france,meo-rip-curl-pro-portugal,billabong-pipe-masters
John John Florence,4,6,6,1,4,2,2,6,3,1,4
Jordy Smith,7,2,5,6,6,4,5,1,7,3,4
Gabriel Medina,6,6,5,3,1,4,3,6,2,6,6
Kolohe Andino,2,7,4,7,7,6,4,5,3,3,3
Matt Wilkinson,1,1,5,7,2,6,6,7,6,7,6
Michel Bourez,6,4,6,5,5,5,7,5,7,5,1
Kelly Slater,7,6,7,,3,4,1,4,7,6,3
Julian Wilson,7,5,2,7,7,3,4,7,4,4,6
Joel Parkinson,4,6,3,7,7,6,5,2,7,5,5
Filipe Toledo,3,7,7,5,6,4,7,3,4,6,5
Adriano de Souza,4,6,6,3,4,5,7,7,5,4,6
Sebastian Zietz,5,6,1,6,7,6,6,7,5,4,6
Josh Kerr,6,7,6,7,5,3,4,5,7,6,4
Adrian Buchan,4,6,5,7,3,6,3,6,6,7,7
Italo Ferreira,6,3,3,5,6,6,6,6,6,6,6
Caio Ibelli,5,5,4,5,7,6,7,6,5,6,7
Mick Fanning,6,3,,,4,1,,6,,,
Conner Coffin,5,4,7,7,6,7,7,6,6,2,6
Stuart Kennedy,3,6,7,6,7,7,7,4,5,5,7
Kanoa Igarashi,5,6,6,6,6,6,6,6,6,6,2
Wiggolly Dantas,6,4,6,7,4,5,7,6,7,6,6
Miguel Pupo,7,6,6,4,6,6,7,6,6,4,6
Nat Young,6,4,4,6,7,7,6,7,6,7,5
Keanu Asing,7,7,7,7,6,7,5,7,1,7,7
Jeremy Flores,6,7,6,7,6,7,6,7,7,5,4
Jadson Andre,6,7,7,7,5,7,5,5,7,6,7
Dusty Payne,,6,7,4,5,6,6,,7,7,
Kai Otton,7,6,7,,7,7,6,6,4,6,6
Matt Banting,7,7,6,6,6,7,6,7,4,6,7
Davey Cathels,7,5,7,4,7,6,7,7,6,7,7
Jack Freestone,7,7,7,2,7,7,7,6,6,7,7
Alejo Muniz,7,7,6,6,6,5,6,7,6,7,7
Adam Melling,7,7,6,4,6,6,6,7,7,7,7
Ryan Callinan,6,7,7,6,7,7,7,7,6,7,5
Alex Ribeiro,7,7,7,7,7,7,6,4,7,7,6
Leonardo Fioravanti,,,4,6,,,,,6,,
Tanner Gudauskas,,,,,,,,3,,,
Bede Durbidge,7,7,7,7,7,7,7,7,7,7,6
Taj Burrow,6,7,6,,6,,,,,,
Brett Simpson,,,,,,,,4,,,
Bruno Santos,,,,,,,4,,,,
Owen Wright,7,7,7,7,7,7,7,7,7,7,7
Mason Ho,,5,,,,,,,,,
Frederico Morais,,,,,,,,,,6,7
Mikey Wright,6,,,,,,,,,,
Deivid Silva,,,,6,,,,,,,
Lucas Silveira,,,,6,,,,,,,
Marco Fernandez,,,,6,,,,,,,
Bino Lopes,,,,7,,,,,,,
Joan Duru,,,,,,,,,7,,
