Name,quiksilver-pro-gold-coast,drug-aware-margaret-river-pro,rip-curl-pro-bells-beach,oi-rio-pro,outerknown-fiji-pro,corona-open-j-bay,billabong-pro-tahiti,hurley-pro-at-trestles,quiksilver-pro-france,meo-rip-curl-pro-portugal,billabong-pipe-masters
John John Florence,3,1,3,6,6,4,4,3,3,4,2
Gabriel Medina,3,8,6,5,6,3,2,6,1,1,4
Julian Wilson,6,5,6,5,4,3,1,5,8,2,4
Jordy Smith,5,4,1,4,6,4,3,2,7,6,6
Matt Wilkinson,2,8,6,3,1,4,5,7,7,6,6
Owen Wright,1,4,5,4,6,5,4,7,5,7,7
Kolohe Andino,5,2,6,8,6,7,3,7,3,3,6
Adriano de Souza,5,4,4,1,6,6,6,4,7,6,6
Joel Parkinson,4,6,5,4,3,6,6,7,4,6,4
Filipe Toledo,7,3,4,6,,1,8,1,8,7,7
Sebastian Zietz,6,5,5,6,5,7,6,5,2,4,7
Mick Fanning,6,8,4,4,6,4,6,6,4,4,6
Connor O'Leary,4,6,6,6,2,6,5,7,8,5,6
Frederico Morais,6,8,4,6,6,2,8,4,7,5,7
Jeremy Flores,6,5,6,6,6,6,6,4,7,7,1
Adrian Buchan,7,6,6,2,7,7,5,3,7,6,6
Kanoa Igarashi,7,6,8,5,7,7,6,4,8,3,3
Caio Ibelli,6,6,2,6,7,6,8,7,5,6,5
Michel Bourez,7,4,6,8,3,5,6,7,7,6,6
Conner Coffin,5,5,8,8,7,5,5,6,8,6,5
Joan Duru,7,8,6,8,4,5,4,6,5,7,7
Italo Ferreira,4,8,8,8,5,6,6,6,8,6,4
Ian Gouveia,6,6,8,6,5,7,6,7,7,7,3
Bede Durbidge,7,6,6,6,4,6,6,5,7,7,7
Miguel Pupo,6,6,8,8,6,7,8,6,4,4,6
Wiggolly Dantas,7,8,5,5,6,7,4,6,8,7,7
Leonardo Fioravanti,7,8,8,8,4,6,8,7,7,5,5
Kelly Slater,4,6,6,8,6,6,8,7,8,7,5
Ezekiel Lau,6,8,3,8,7,6,8,6,8,7,6
Jack Freestone,7,3,8,8,7,6,8,7,8,6,7
Nat Young,,6,6,6,7,,6,7,5,7,
Josh Kerr,7,8,8,6,7,7,8,6,8,5,6
Jadson Andre,6,8,8,6,7,6,8,5,8,7,7
Ethan Ewing,7,8,8,8,7,7,6,6,7,6,6
Stuart Kennedy,6,8,8,8,5,7,8,7,7,7,7
Yago Dora,,,,,,,,,,,
Marc Lacomare,,,,,,,,,4,,
Jesse Mendes,,,,,,,,,,,
Mikey Wright,,,,,,,,,,,
Vasco Ribeiro,,,,,,,,,,,
Hiroto Ohhara,,,,,,,,,,,
Jacob Willcox,,,,,,,,,,,
Evan Geiselman,,,,,,,,,,,
Bino Lopes,,,,8,7,,,,,,
Keanu Asing,,,,,,,,,,,
Aritz Aranburu,,,,,,,,,,,
Michael February,,,,,,,,,,,
Dusty Payne,,,,,,,,,,,
Mason Ho,,,,,,,,,,,
Tevita Gukilau,,,,,,,,,,,
