Name,quiksilver-pro-gold-coast,rip-curl-pro-bells-beach,rio,bali,margaret-river,j-bay,teahupoo,surf-ranch-pro,quiksilver-pro-france,portugal,billabong-pipe-masters
Gabriel Medina,6,3,4,5,4,4,1,1,3,3,1
Julian Wilson,1,6,3,6,2,4,8,4,1,4,2
Filipe Toledo,4,6,1,4,4,1,3,2,6,6,6
Italo Ferreira,6,1,6,1,6,8,4,7,6,1,6
Jordy Smith,6,6,6,3,4,3,6,6,4,6,3
Owen Wright,4,4,8,6,5,6,2,4,8,3,8
Conner Coffin,6,5,8,6,4,4,8,6,3,6,4
Michel Bourez,4,4,8,2,6,6,6,7,8,4,5
Wade Carmichael,6,5,2,7,8,2,4,8,8,5,6
Kanoa Igarashi,5,7,5,7,8,3,5,3,8,4,6
Kolohe Andino,6,6,4,7,3,6,4,6,6,6,8
Mikey Wright,,,6,,,,6,,,,
Willian Cardoso,6,6,6,4,1,6,8,8,5,6,8
Sebastian Zietz,8,6,5,7,6,4,8,4,4,8,4
Michael Rodrigues,4,7,4,6,5,6,6,7,5,6,6
Jeremy Flores,6,5,6,4,8,6,3,7,8,6,6
Adrian Buchan,2,6,6,5,8,6,6,8,6,5,8
Griffin Colapinto,3,6,6,4,8,5,8,7,6,8,6
Adriano de Souza,5,6,8,5,6,5,6,7,4,8,8
Ezekiel Lau,8,4,3,6,8,8,5,8,6,5,8
Yago Dora,8,7,4,7,6,6,5,6,6,8,4
Joan Duru,8,7,8,7,5,8,8,7,6,2,4
Frederico Morais,6,4,6,6,8,5,6,8,8,5,8
Joel Parkinson,6,6,,6,6,5,6,8,6,8,5
Matt Wilkinson,8,5,8,6,8,8,8,8,5,4,6
Connor O'Leary,6,7,8,7,5,6,5,7,6,8,6
Tomas Hermes,3,7,6,6,8,6,8,7,8,6,8
Jesse Mendes,8,6,8,5,6,8,6,8,8,6,5
Patrick Gudauskas,8,3,8,7,8,8,8,7,5,6,8
Kelly Slater,8,7,8,7,8,8,8,3,8,8,3
Ryan Callinan,,,,,,,,,2,6,
Michael February,6,7,8,6,6,8,4,8,8,8,6
Ian Gouveia,8,7,5,7,8,8,6,7,6,6,8
Mick Fanning,5,2,,,,,,,,,
John John Florence,8,6,5,6,6,8,8,8,8,8,8
Miguel Pupo,,,6,7,8,8,8,4,8,8,6
Keanu Asing,8,7,6,6,6,8,8,8,8,8,8
Wiggolly Dantas,,,8,,,6,6,8,6,8,
Caio Ibelli,8,7,8,7,8,8,8,8,8,8,8
Jack Robinson,,,,,6,,,,,,
Kael Walsh,,,,,,,,,,,
Tikanui Smith,,,,,,,,,,,
Seth Moniz,,,,,,,,,,,6
Alejo Muniz,,,,,,,,,,,
David Delroy-Carr,,,,,8,,,,,,
Oney Anwar,,,,,,,,,,,
Leonardo Fioravanti,,,,,,,,,,,
Vasco Ribeiro,,,,,,,,,,8,
Jorgann Couzinet,,,,,,,,,,,
Miguel Blanco,,,,,,,,,,,
