Name,quiksilver-pro-gold-coast,rip-curl-pro-bells-beach,bali,margaret-river,rio,j-bay,teahupoo,freshwater-pro,quiksilver-pro-france,portugal,billabong-pipe-masters
Italo Ferreira,1,4,6,5,7,2,7,5,2,1,1
Gabriel Medina,4,4,6,7,5,1,2,1,5,6,2
Jordy Smith,3,3,6,5,2,5,3,4,5,2,7
Filipe Toledo,5,2,4,7,1,3,6,2,6,5,7
Kolohe Andino,2,6,4,2,3,3,7,6,4,5,5
Kanoa Igarashi,5,5,1,6,5,4,7,5,6,3,7
John John Florence,3,1,6,1,5,8,8,7,8,9,4
Kelly Slater,7,4,3,6,6,5,7,5,6,6,3
Owen Wright,5,5,6,6,7,4,1,3,6,7,7
Jeremy Flores,6,5,2,7,9,6,4,6,1,7,8
Julian Wilson,6,6,5,3,5,6,6,4,5,7,5
Seth Moniz,4,5,6,5,7,6,3,6,5,9,5
Michel Bourez,5,6,5,6,6,5,6,7,5,7,4
Ryan Callinan,6,3,5,5,7,5,7,6,4,9,7
Jack Freestone,6,6,5,7,7,6,6,6,3,5,4
Griffin Colapinto,6,8,6,7,6,6,6,3,6,6,3
Caio Ibelli,7,6,6,3,7,6,4,6,6,3,5
Wade Carmichael,4,6,4,8,6,6,7,5,5,6,7
Adrian Buchan,6,6,4,8,9,4,7,4,4,7,7
Conner Coffin,4,5,5,6,7,6,7,6,6,6,7
Peterson Crisanto,6,5,6,6,9,5,7,7,6,5,5
Yago Dora,5,6,6,7,7,6,7,4,5,7,4
Deivid Silva,6,5,6,7,6,5,6,5,8,7,7
Willian Cardoso,5,5,6,7,7,5,7,5,6,7,7
Jesse Mendes,6,8,5,7,6,8,7,6,6,6,5
Michael Rodrigues,6,6,3,7,6,6,8,7,6,6,8
Sebastian Zietz,6,8,8,6,7,4,7,5,8,7,7
Ezekiel Lau,6,6,8,7,7,5,7,5,5,9,7
Joan Duru,6,8,5,7,6,6,6,6,6,7,7
Soli Bailey,6,6,8,7,7,6,7,6,6,6,5
Leonardo Fioravanti,7,6,5,7,9,8,8,7,3,7,8
Jadson Andre,7,6,6,7,7,8,4,6,8,7,7
Ricardo Christie,6,6,6,7,7,6,7,6,8,9,5
Frederico Morais,,,,8,3,6,8,,6,7,8
Adriano de Souza,7,8,8,8,7,6,4,7,8,9,8
Mikey Wright,5,6,6,8,9,8,8,7,8,9,8
Jacob Willcox,,,,,,,,,,,
Marc Lacomare,,,,,,,,,,,
Reef Heazlewood,,6,,,,,,,,,
Kauli Vaast,,,,,,,,,,,
Jack Robinson,,,,,,,,,,,
Crosby Colapinto,,,,,,,,6,,,
Mateus Herdy,,,,,9,,,7,,,
Jorgann Couzinet,,,,,,8,,,,,
Michael February,,,,,,,,,,,
Vasco Ribeiro,,,,,,,,,,7,
Miguel Blanco,,,,,,,,,,,
Krystian Kymerson,,,,,7,,,,,,
Billy Kemper,,,,,,,,,,,7
Jett Schilling,,,,,,,,6,,,
