Name,billabong-pro-pipeline,hurley-pro-sunset-beach,meo-pro-portugal,rip-curl-pro-bells-beach,margaret-river-pro,quiksilver-pro-g-land,surf-city-el-salvador-pro,oi-rio-pro,corona-open-j-bay,outerknown-tahiti-pro
Filipe Toledo,6,6,2,1,6,2,2,1,6,6
Italo Ferreira,6,8,3,4,5,5,3,3,5,6
Jack Robinson,7,5,6,3,1,1,4,6,2,5
Ethan Ewing,7,3,6,3,3,5,4,6,1,5
Kanoa Igarashi,5,2,4,6,8,4,4,8,3,3
Miguel Pupo,3,9,5,4,6,5,7,5,6,1
Griffin Colapinto,7,8,1,6,5,4,1,8,6,5
Caio Ibelli,3,3,6,6,6,6,5,6,6,2
Connor O'Leary,7,6,5,5,8,3,5,5,5,5
Callum Robson,6,8,5,2,6,6,4,5,6,6
Samuel Pupo,5,8,6,5,6,5,7,2,5,5
John John Florence,5,8,3,4,2,5,7,8,7,6
Matthew McGillivray,7,6,8,8,3,4,5,6,6,3
Jordy Smith,6,6,4,6,5,6,5,8,5,5
Kelly Slater,1,8,5,6,8,6,7,8,6,2
Barron Mamiya,,1,6,6,6,6,5,8,7,6
Nat Young,7,6,5,5,5,6,7,6,6,6
Jake Marshall,7,5,5,6,8,5,5,8,7,5
Yago Dora,9,9,8,8,9,6,5,3,3,3
Kolohe Andino,7,6,4,5,6,5,7,8,7,6
Jadson Andre,9,6,6,6,6,4,7,8,7,5
Seth Moniz,2,5,6,8,9,6,7,8,7,6
Jackson Baker,7,8,5,5,8,6,5,6,7,6
Gabriel Medina,9,9,8,8,9,3,3,8,7,6
Conner Coffin,7,8,4,8,8,,,,,
Ezekiel Lau,7,5,6,6,8,,,,,
Lucca MesinasPeru,5,8,6,6,8,,,,,
Owen Wright,7,9,6,4,8,,,,,
Morgan Cibilic,9,8,6,5,8,,,,,
Frederico Morais,7,8,5,6,8,,,,,
Leonardo Fioravanti,6,8,6,6,8,,,,,
Deivid Silva,7,6,8,6,8,,,,,
Imaikalani deVault,9,8,6,5,8,,,,,
Joao Chianca,6,8,6,6,8,,,,,
Ryan Callinan,9,8,6,6,8,,,,,
Carlos MunozCosta Rica,6,9,8,8,9,,7,,,
Mick Fanning,,,,,,,,,,
Billy Kemper,,,,,,,,,,
Ivan Florence,7,,,,,,,,,
Miguel TudelaPeru,,,,,,,,6,,
Mikey Wright,,,,6,,,,,,
Justin Becret,,,,,,,,,,
Liam O'Brien,9,9,8,8,9,,,,,
Jordan Lawler,9,9,,,,,,,,
Koa Smith,,9,,,,,,,,
Vasco Ribeiro,,,8,,,,,,,
Jacob Willcox,,,,,,,,,,
Afonso Antunes,,,,,,,,,,
Jack Thomas,,,,,9,,,,,
Ben Spence,,,,,,,,,,
